169.39	229.73		 	
171.27	227.84		 	
173.16	225.96		 	
175.04	224.08		 	
176.92	222.19		 	
178.80	220.31		 	
180.69	218.43		 	
182.59	216.57		 	
184.62	214.84		 	
186.64	213.11		 	
188.66	211.37		 	
190.83	209.83		 	
193.04	208.36		 	
195.26	206.88		 	
197.49	205.43		 	
199.75	204.02		 	
202.00	202.60		 	
204.26	201.19		 	
206.70	200.12		 	
209.14	199.07		 	
211.59	198.02		 	
214.06	197.03		 	
216.56	196.10		 	
219.05	195.16		 	
221.54	194.23		 	
224.03	193.29		 	
226.53	192.36		 	
229.02	191.42		 	
231.62	190.90		 	
234.26	190.57		 	
236.90	190.24		 	
239.53	189.83		 	
242.11	189.18		 	
244.69	188.53		 	
247.28	187.89		 	
249.93	187.80		 	
252.59	187.80		 	
255.25	187.80		 	
257.91	187.65		 	
260.55	187.32		 	
263.19	186.99		 	
265.83	186.67		 	
268.50	186.67		 	
271.16	186.67		 	
273.82	186.67		 	
276.48	186.67		 	
279.15	186.67		 	
281.81	186.67		 	
284.47	186.74		 	
287.11	187.07		 	
289.75	187.40		 	
292.39	187.73		 	
294.99	188.31		 	
297.57	188.96		 	
300.16	189.60		 	
302.74	190.25		 	
305.32	190.90		 	
307.90	191.54		 	
310.49	192.19		 	
312.72	193.64		 	
314.93	195.11		 	
317.15	196.59		 	
319.45	197.91		 	
321.84	199.10		 	
324.22	200.29		 	
326.58	201.51		 	
328.84	202.92		 	
331.10	204.33		 	
333.36	205.74		 	
335.58	207.20		 	
337.80	208.68		 	
340.01	210.16		 	
342.20	211.67		 	
344.33	213.27		 	
346.46	214.87		 	
348.59	216.46		 	
350.61	218.20		 	
352.61	219.95		 	
354.62	221.71		 	
356.56	223.52		 	
358.44	225.41		 	
360.33	227.29		 	
362.23	229.14		 	
364.45	230.62		 	
366.66	232.10		 	
368.88	233.58		 	
370.88	235.32		 	
372.76	237.20		 	
374.64	239.08		 	
376.49	241.00		 	
378.22	243.02		 	
379.95	245.04		 	
381.69	247.06		 	
383.42	249.09		 	
385.15	251.11		 	
386.89	253.13		 	
388.61	255.16		 	
390.31	257.21		 	
392.02	259.25		 	
393.72	261.30		 	
